|-------------------------------------------------------------------------|
|   File Name : in_temp.dat
|   Subject   : temperature profiles used for initial guess atmosphere
|   File Type : input of gmtr
|   Data Type : atmospherical data
|   Author/s  : WRF-Chem
|   Date      : Fri Jul 26 15:39:24 2024
|-------------------------------------------------------------------------|

 WRF-Chem temperature
#
 values of T (K)    (8f10.5)
#
 225.83170 227.92077 230.02284 232.13390 234.26797 236.44503 238.70610 241.08117
 243.70723 245.96330 247.97036 249.74043 251.16250 252.29056 253.11763 253.43869
 253.48076 253.25983 252.62489 251.57796 250.18903 248.35509 246.26916 244.10722
 241.90329 239.71236 237.53742 235.38149 233.24655 231.11862 229.14969 227.31175
 225.59982 224.07688 222.71195 221.48902 220.37608 219.34115 218.45022 217.59628
 216.84335 216.02841 215.13148 214.50055 213.95561 213.21487 211.46748 210.74484
 210.63957 211.25760 212.63217 215.10255 218.70386 223.46704 229.32967 234.35536
 238.18944 242.12779 246.39798 250.70641 254.59845 258.41156 261.32062 263.23322
 265.89230 268.66592 271.08078 272.97153 275.02768 277.08197 278.49698 279.86575
 281.48874 283.04605 284.50992 285.86856 287.04929 288.09525 289.05124 289.91965
 290.70258 291.40445 292.02246 292.84491
 366.78100 356.33992 345.77684 334.64776 323.05568 311.25460 299.12952 286.93744
 274.65437 262.55629 250.57021 239.87613 230.00305 221.11197 213.29889 206.30581
 200.14473 195.08765 191.67457 189.72149 188.76341 188.83233 189.67226 190.98518
 192.71510 194.81502 197.08294 199.44686 201.89678 204.38170 206.47462 208.32154
 209.95246 211.10238 211.33630 211.56922 211.51115 211.22107 210.85899 210.49391
 210.11583 209.83075 209.64367 209.51259 209.44551 209.78143 210.17235 210.56627
 211.36419 212.54711 213.80204 215.58996 217.52288 219.57080 221.67072 223.75864
 225.82356 227.91248 230.01440 232.12532 234.25924 236.43616 238.69708 241.07200
 243.69793 245.95385 247.96077 249.73069 251.15261 252.28053 253.10745 253.42837
 253.47029 253.24921 252.61413 251.56705 250.17797 248.34389 246.25782 244.09574
 241.89166 239.70058 237.52550 235.36942 233.23434 231.10626 229.13718 227.29910
 225.58702 224.06394 222.69886 221.47578 220.36270 219.32763 218.43655 217.58247
 216.82939 216.01431 215.11723 214.48615 213.94107 213.23141 211.55705 210.87001
 210.70671 211.28616 212.62790 215.08339 218.63623 223.37221 229.26305 234.27536
 238.10481 242.04129 246.31500 250.63879 254.55765 258.37259 261.27731 263.19617
 265.84482 268.61319 271.02649 272.89972 274.95889 277.03613 278.47012 279.83722
 281.43958 282.98251 284.43283 285.79214 286.97165 288.01871 288.97421 289.84225
 290.62781 291.32925 291.94836 292.76959
 366.78100 356.33984 345.77667 334.64751 323.05535 311.25418 299.12902 286.93686
 274.65369 262.55553 250.56936 239.87520 230.00204 221.11087 213.29771 206.30455
 200.14338 195.08622 191.67306 189.71989 188.76173 188.83057 189.67040 190.98324
 192.71308 194.81291 197.08075 199.44458 201.89442 204.37926 206.47209 208.31893
 209.94977 211.09960 211.33344 211.56628 211.50811 211.21795 210.85579 210.49062
 210.11246 209.82730 209.64013 209.50897 209.44180 209.77764 210.16848 210.56231
 211.36015 212.54299 213.79782 215.58566 217.51850 219.56633 221.66617 223.75401
 225.81884 227.90768 230.00952 232.12035 234.25419 236.43103 238.69186 241.06670
 243.69253 245.94837 247.95521 249.72504 251.14688 252.27472 253.10155 253.42239
 253.46423 253.24306 252.60790 251.56074 250.17157 248.33741 246.25125 244.08908
 241.88492 239.69375 237.51859 235.36243 233.22726 231.09910 229.12994 227.29177
 225.57961 224.05645 222.69128 221.46812 220.35496 219.31979 218.42863 217.57447
 216.82130 216.00614 215.10897 214.47781 213.93265 213.25061 211.64117 210.99034
 210.79916 211.31375 212.62540 215.06606 218.55238 223.27003 229.19360 234.19357
